Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C2, C21, C22",0805,6,10µF,C15850
"C10, C11, C12, C13, C14, C4, C5, C7, C8, C9",0805,10,100nF,C476766
"C15, C16",0805,2,22pF,C1804
C19,1206,1,250µF,
"C20, C23",0805,2,50nF,C107154
C24,1206,1,250µF,C412252
"C3, C6",0805,2,1µF,C28323
"D1, D2, D3",LED_D3.0mm,3,LED,C3028820
J1,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,C5383115
J4,Jack_3.5mm_CUI_SJ1-3524N_Horizontal,1,AudioJack3_Ground,C4992816
J5,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
Q1,SOT-23,1,AO3401A,C15127
"R1, R16",0402,2,5.1K,C105872
"R10, R13",0402,2,10,C138066
"R11, R12, R4",0402,3,10K,
"R14, R15",0402,2,100,C106232
"R2, R3",0402,2,27,C138021
"R5, R7",0402,2,1K,C11702
"R6, R8, R9",0402,3,220,C112291
RV2,Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical,1,R_Potentiometer_Dual,C470285
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,64,~,
SW65,SW_E-Switch_EG2219_DPDT_Angled,1,SW_DPDT_x2,C2848873
"SW66, SW67, SW68, SW69, SW70, SW71, SW72, SW73",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,8,RotaryEncoder_Switch_MP,C202365
"SW75, SW76, SW77, SW78, SW79, SW80, SW81, SW83",SW_Cherry_MX_1.00u_PCB,8,SW_Push,
"U1, U11, U2, U3, U4",QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,5,MCP23017_ML,C639770
U10,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
"U14, U15",SOIC-8_3.9x4.9mm_P1.27mm,2,LM386,C23573
U5,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm,1,CP2615-xx-xM,C1521596
U6,TSSOP-16_4.4x5mm_P0.65mm,1,TMUX1574PW,C2673443
U7,QSOP-16_3.9x4.9mm_P0.635mm,1,CH334R,C4154405
U8,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U9,TO-252-2,1,NCP1117-3.3_TO252,C154606
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
